,c.elegans,ciliate,drosophila,e.coli,human,methanocaldococcus,mouse,thermococcus,tuberculosis,yeast,zebrafish
POGZ.fasta,226,23,1022,6,1799,6,1940,4,2,37,1764
H2B.fasta,25,14,57,5,150,5,120,6,9,7,120
H2A.fasta,24,7,24,10,100,9,64,6,3,8,45
H3.fasta,28,16,29,5,147,3,112,8,7,7,93
H4.fasta,16,9,38,6,54,10,43,9,10,7,37
